,기준금리,한국금융지주,신한지주,하나금융지주
2006-09-30,4.5,35900.0,43190.0,42033.33
2006-12-31,4.5,44800.0,41974.67,44950.0
2007-03-31,4.5,45516.67,48900.67,48683.33
2007-06-30,4.5,57500.0,52435.67,48016.67
2007-09-30,5.0,62033.33,55763.33,46216.67
2007-12-31,5.0,73800.0,53987.67,44116.67
2008-03-31,5.0,58366.67,49077.0,45533.33
2008-06-30,5.0,49750.0,52244.0,43316.67
2008-09-30,5.25,39433.33,45413.67,38733.33
2008-12-31,3.0,27816.67,33416.67,21866.67
2009-03-31,2.0,24266.67,25233.33,19683.33
2009-06-30,2.0,32850.0,30800.0,25216.67
2009-09-30,2.0,37483.33,39166.67,32616.67
2009-12-31,2.0,32383.33,46100.0,36816.67
2010-03-31,2.0,31766.67,43000.0,33483.33
2010-06-30,2.0,31950.0,45150.0,33700.0
2010-09-30,2.25,32366.67,46500.0,32750.0
2010-12-31,2.5,35683.33,44900.0,35316.67
2011-03-31,3.0,45300.0,49900.0,44383.33
2011-06-30,3.25,40033.33,50583.33,44050.0
2011-09-30,3.25,39350.0,48666.67,38416.67
2011-12-31,3.25,36500.0,42083.33,38683.33
2012-03-31,3.25,40716.67,42633.33,37783.33
2012-06-30,3.25,41466.67,40666.67,40700.0
2012-09-30,3.0,36750.0,36900.0,35383.33
2012-12-31,2.75,38266.67,36550.0,32766.67
2013-03-31,2.75,43800.0,41350.0,38500.0
2013-06-30,2.5,45400.0,39466.67,37466.67
2013-09-30,2.5,39850.0,40050.0,34966.67
2013-12-31,2.5,40716.67,45300.0,39233.33
2014-03-31,2.5,39216.67,45316.67,41433.33
2014-06-30,2.5,37516.67,46166.67,37600.0
2014-09-30,2.25,45650.0,49600.0,40600.0
2014-12-31,2.0,54933.33,48916.67,35833.33
2015-03-31,1.75,50666.67,43816.67,31233.33
2015-06-30,1.5,64866.67,42700.0,30116.67
2015-09-30,1.5,64900.0,40850.0,28366.67
2015-12-31,1.5,58766.67,42483.33,26466.67
2016-03-31,1.5,46133.33,38800.0,21616.67
2016-06-30,1.25,44383.33,39833.33,24683.33
2016-09-30,1.25,43650.0,40150.0,26916.67
2016-12-31,1.25,40633.33,42733.33,31200.0
2017-03-31,1.25,45183.33,46150.0,34316.67
2017-06-30,1.25,53633.33,48066.67,39483.33
2017-09-30,1.25,69100.0,51750.0,48533.33
2017-12-31,1.5,64733.33,49133.33,47683.33
2018-03-31,1.5,78666.67,49483.33,50300.0
2018-06-30,1.5,88400.0,45950.0,44566.67
2018-09-30,1.5,74566.67,43416.67,43483.33
2018-12-31,1.75,69000.0,42983.33,40350.0
2019-03-31,1.75,61400.0,41900.0,38133.33
2019-06-30,1.75,68566.67,44683.33,37050.0
2019-09-30,1.5,75766.67,43366.67,35100.0
2019-12-31,1.25,71366.67,42866.67,35016.67
2020-03-31,0.75,66266.67,38033.33,33300.0
2020-06-30,0.5,49316.67,29083.33,26100.0
2020-09-30,0.5,53216.67,29883.33,28450.0
2020-12-31,0.5,73333.33,31150.0,32116.67
2021-03-31,0.5,84733.33,32083.33,35500.0
2021-06-30,0.5,98366.67,39616.67,43916.67
2021-09-30,0.75,97266.67,39316.67,44400.0
2021-12-31,1.0,83233.33,37750.0,43800.0
2022-03-31,1.25,78000.0,38016.67,44550.0
2022-06-30,1.75,72633.33,41833.33,47533.33
2022-09-30,2.5,60000.0,35950.0,38066.67
2022-12-31,3.25,52200.0,36433.33,41516.67
2023-03-31,3.5,58366.67,38150.0,44900.0
2023-06-30,3.5,54833.33,34900.0,41333.33
