,코스피지수,코스닥지수,원달러환율
2006-09-30,1312.88,572.39,939.42
2006-12-31,1394.31,603.82,925.05
2007-03-31,1410.88,599.39,915.71
2007-06-30,1576.36,692.15,914.91
2007-09-30,1836.54,784.32,927.61
2007-12-31,1976.08,783.18,916.13
2008-03-31,1719.9,654.73,944.35
2008-06-30,1799.35,650.12,1000.07
2008-09-30,1551.55,518.58,1080.22
2008-12-31,1209.12,358.24,1301.8
2009-03-31,1107.72,351.75,1400.77
2009-06-30,1348.79,492.51,1297.0
2009-09-30,1533.23,506.0,1241.27
2009-12-31,1591.15,483.61,1161.67
2010-03-31,1639.23,512.68,1152.4
2010-06-30,1690.26,509.25,1152.8
2010-09-30,1744.4,480.44,1198.3
2010-12-31,1906.93,508.51,1138.5
2011-03-31,2023.45,515.34,1120.73
2011-06-30,2163.77,510.68,1080.73
2011-09-30,2059.58,506.24,1063.0
2011-12-31,1844.0,474.94,1148.23
2012-03-31,1940.08,523.34,1133.67
2012-06-30,1954.29,493.16,1145.87
2012-09-30,1881.43,490.47,1125.47
2012-12-31,1944.83,511.79,1081.53
2013-03-31,2000.68,514.1,1077.67
2013-06-30,1980.92,561.29,1099.4
2013-09-30,1900.43,534.17,1118.17
2013-12-31,2023.02,525.93,1063.87
2014-03-31,1950.61,513.25,1067.43
2014-06-30,1984.47,547.63,1038.37
2014-09-30,2046.65,550.98,1019.0
2014-12-31,1969.91,552.97,1064.53
2015-03-31,1958.64,588.6,1096.9
2015-06-30,2087.68,681.29,1097.86
2015-09-30,2006.87,715.98,1154.38
2015-12-31,2012.83,685.58,1160.41
2016-03-31,1930.33,675.2,1205.47
2016-06-30,1978.15,693.66,1157.18
2016-09-30,2016.55,686.42,1125.21
2016-12-31,2015.33,635.37,1141.2
2017-03-31,2069.76,621.55,1163.83
2017-06-30,2243.93,636.26,1123.27
2017-09-30,2391.71,658.69,1129.03
2017-12-31,2488.56,712.69,1116.54
2018-03-31,2483.45,860.29,1073.48
2018-06-30,2462.91,874.02,1070.13
2018-09-30,2295.21,798.97,1113.84
2018-12-31,2165.09,727.82,1122.38
2019-03-31,2134.71,711.45,1116.09
2019-06-30,2149.63,731.56,1162.61
2019-09-30,2038.76,646.02,1183.69
2019-12-31,2088.18,642.98,1182.67
2020-03-31,2098.85,649.51,1182.91
2020-06-30,1881.97,643.16,1220.03
2020-09-30,2235.76,802.84,1192.94
2020-12-31,2430.8,850.88,1135.97
2021-03-31,3014.95,952.57,1108.48
2021-06-30,3145.49,970.73,1116.98
2021-09-30,3237.37,1039.81,1146.31
2021-12-31,2965.95,986.31,1180.32
2022-03-31,2800.04,941.63,1197.94
2022-06-30,2695.43,911.18,1239.59
2022-09-30,2391.09,775.14,1310.75
2022-12-31,2341.48,712.48,1381.23
2023-03-31,2367.77,736.55,1271.55
2023-06-30,2521.97,858.12,1321.46
