,±Ý¸®
1999-04-01,4.75
1999-07-01,4.75
1999-10-01,4.75
2000-01-01,5.0
2000-04-01,5.0
2000-07-01,5.0
2000-10-01,5.25
2001-01-01,5.0
2001-04-01,5.0
2001-07-01,4.0
2001-10-01,4.0
2002-01-01,4.0
2002-04-01,4.25
2002-07-01,4.25
2002-10-01,4.25
2003-01-01,4.25
2003-04-01,4.0
2003-07-01,3.75
2003-10-01,3.75
2004-01-01,3.75
2004-04-01,3.75
2004-07-01,3.5
2004-10-01,3.25
2005-01-01,3.25
2005-04-01,3.25
2005-07-01,3.25
2005-10-01,3.75
2006-01-01,4.0
2006-04-01,4.25
2006-07-01,4.5
2006-10-01,4.5
2007-01-01,4.5
2007-04-01,4.5
2007-07-01,5.0
2007-10-01,5.0
2008-01-01,5.0
2008-04-01,5.0
2008-07-01,5.25
2008-10-01,3.0
2009-01-01,2.0
2009-04-01,2.0
2009-07-01,2.0
2009-10-01,2.0
2010-01-01,2.0
2010-04-01,2.0
2010-07-01,2.25
2010-10-01,2.5
2011-01-01,3.0
2011-04-01,3.25
2011-07-01,3.25
2011-10-01,3.25
2012-01-01,3.25
2012-04-01,3.25
2012-07-01,3.0
2012-10-01,2.75
2013-01-01,2.75
2013-04-01,2.5
2013-07-01,2.5
2013-10-01,2.5
2014-01-01,2.5
2014-04-01,2.5
2014-07-01,2.25
2014-10-01,2.0
2015-01-01,1.75
2015-04-01,1.5
2015-07-01,1.5
2015-10-01,1.5
2016-01-01,1.5
2016-04-01,1.25
2016-07-01,1.25
2016-10-01,1.25
2017-01-01,1.25
2017-04-01,1.25
2017-07-01,1.25
2017-10-01,1.5
2018-01-01,1.5
2018-04-01,1.5
2018-07-01,1.5
2018-10-01,1.75
2019-01-01,1.75
2019-04-01,1.75
2019-07-01,1.5
2019-10-01,1.25
2020-01-01,0.75
2020-04-01,0.5
2020-07-01,0.5
2020-10-01,0.5
2021-01-01,0.5
2021-04-01,0.5
2021-07-01,0.75
2021-10-01,1.0
2022-01-01,1.25
2022-04-01,1.75
2022-07-01,2.5
2022-10-01,3.25
2023-01-01,3.5
2023-04-01,3.5
